Id,Probability
1,0.13542797033145546
2,0.23222316958119416
3,0.07759271366029537
4,0.12213799648941233
5,0.1788362209820658
6,0.06976421032815731
7,0.13954300441545103
8,0.01745501797870075
9,0.02196268179753742
10,1.0
11,0.11920238543679938
12,0.08997106613309346
13,0.042229787620487846
14,0.14017809510868584
15,0.06920741166449118
16,0.14158087802538266
17,0.03309051054966289
18,0.12801035679125414
19,0.18083325859545743
20,0.12600041038915283
21,0.08381761813293027
22,0.029628623870905143
23,0.04324920673570793
24,0.038490353167575014
25,0.1094443515752603
26,0.006524211369931674
27,0.16571831884695973
28,0.026547608233254645
29,0.14624032560340428
30,0.0003129293778225891
31,0.11175607383478928
32,0.04130641630703475
33,0.06988992169852096
34,0.08784250672936539
35,0.05378686330910575
36,0.08319222362868725
37,0.12922686202749542
38,0.005844411198124565
39,0.22331591200334863
40,0.23336462097707736
41,0.9999992080288119
42,0.11222121320263391
43,0.08270571095766747
44,0.06033897243146395
45,0.04558895807081532
46,0.023032367400738503
47,0.02398817599150599
48,0.10815103579509705
49,0.1243439045701784
50,0.13420913134015264
51,0.08235402773431791
52,0.009053654022203561
53,0.11497593656611366
54,0.11289739805635762
55,0.1123514926629511
56,0.09813406989348383
57,0.0506036050952217
58,0.14843012370176875
59,0.0666283873857212
60,0.23137520459825817
61,2.3466091112435032e-11
62,0.020879747274814255
63,0.10752152638552696
64,0.04641933828238178
65,0.10016786597051461
66,0.03589884227738359
67,0.06458246726824142
68,0.19309390844269017
69,0.053967679105833166
70,1.0
71,0.0433444298636124
72,0.17163353807689674
73,0.021969919817666397
74,0.14783420767170116
75,0.10093954527802532
76,0.050884777101678616
77,0.11859159111322057
78,0.12106836899364307
79,0.006821190162606706
80,0.3316904477408193
81,0.10346539948927834
82,0.04750746810266528
83,0.13205474057278363
84,0.016567955812745304
85,0.044982038000667454
86,0.10101531453583333
87,0.14238324985453762
88,0.09227722988906585
89,0.13956414878557452
90,0.12373819924638574
91,0.24942764670497267
92,0.15388474132379942
93,0.007817307429443341
94,0.07927389835180552
95,0.033753468697121376
96,0.9999868927307708
97,0.028024014440987222
98,0.18567917182328708
99,0.08818722408475778
100,0.14822861610466226
101,0.10910700404734658
102,0.15908660983924872
103,0.038004348128617874
104,0.1329391493136375
105,0.06142022055845701
106,0.14804449240080755
107,0.10125457194969406
108,0.01852593940486686
109,0.052757419522713365
110,0.0974885333503837
111,6.233851672642832e-06
112,0.06262514442866689
113,0.13957930823029607
114,0.18044580522115425
115,0.14712311113531756
116,0.03600820576314576
117,0.04460306560871989
118,0.1500006698395934
119,0.1126401360954123
120,0.0514990359602289
121,0.06427742791109284
122,0.12097926330481958
123,0.39776591451604393
124,0.14383019098886818
125,0.01988340122627145
126,0.03641185522558054
127,0.006742409685194342
128,0.08539964707035504
129,0.030206281829287477
130,0.1851916203124275
131,0.04782314751552877
132,0.1491814549985464
133,0.06165264513751683
134,0.048467297875169416
135,0.03165016836191752
136,0.016380071019040394
137,0.11366423663319024
138,0.0485575529018953
139,0.04671016098578741
140,0.16967309943756892
141,0.02537023753377199
142,0.052510082240943765
143,0.026407354928184402
144,0.13115193393107394
145,0.158006701376642
146,0.1708748329603991
147,0.029799998964990065
148,0.0744424477408337
149,0.06988164185992542
150,0.0907681246429407
151,0.05848774693371573
152,0.0024044186167631633
153,0.04153809122069117
154,0.03278432017669148
155,0.13679431402241865
156,0.2783502636078703
157,0.16495269651706826
158,0.04125821066726557
159,0.05076350634569747
160,0.10260467619564347
161,0.04304021754943436
162,0.04708129837010193
163,0.07929811005312455
164,0.2602098367877963
165,0.09534946195256215
166,0.1255999794731469
167,0.05567058171050637
168,0.0605601011290509
169,0.04408822825508952
170,0.061609902831443845
171,0.023422864416735894
172,0.033429908899814655
173,0.10669284705794622
174,0.11772346787650996
175,0.13227726826198083
176,0.11967121368856982
177,0.09875509318028663
178,0.1157721393613373
179,0.028509387317431883
180,0.050105733113152515
181,0.14716041094190127
182,0.10237355188371887
183,0.1868955994096848
184,0.029050836543707593
185,0.11746457903328486
186,0.0734531888705525
187,0.09509148446504409
188,0.13903523373225457
189,0.04645246304832578
190,0.09373351415955902
191,0.09328208559276802
192,0.21663993048974534
193,0.044347094771668934
194,0.06305503265891385
195,0.15019846805568537
196,0.12502082973665876
197,0.03123994609440544
198,0.051798906751366655
199,0.031474984830285595
200,0.025846435034034398
201,0.3281007755277802
202,0.024532497386609165
203,0.102762668892415
204,0.022232805569847598
205,1.547431613054196e-11
206,0.040487129252353496
207,0.06265102915717728
208,0.03281822362489724
209,0.14703133701589763
210,0.014120430959322187
211,0.20708827167084276
212,0.1511991128311976
213,0.06117065555997713
214,0.10203844637567543
215,0.12658649486539114
216,0.14403396913767283
217,3.214358531812196e-05
218,0.03218309691749911
219,0.0714645100841693
220,0.035552333013211264
221,0.12237402118118026
222,0.042960235474436594
223,0.09643735985682082
224,0.036534323479802344
225,0.05110476948167862
226,0.19728047313242317
227,0.08215444177265488
228,0.09414686932462289
229,0.08511609340084676
230,0.4238634718390758
231,0.1301757994792966
232,0.04074264165232632
233,0.036252903147496594
234,0.03480383399037998
235,0.0189539070606409
236,0.09231067890238422
237,0.020360037603294457
238,0.017342646155859377
239,0.18073186219898238
240,0.13556212677921073
241,0.1264430744003033
242,0.06765557366162922
243,0.0629337260567839
244,0.028125841635916488
245,0.16299375616908135
246,0.02748253560148376
